date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:32	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:32%20GMT	http://iboxbd.live/player.php?stream=56	iboxbd.live/player2f93.html	(from http://iboxbd.live/)
12:50:33	22640/22640	---M--	200	added ('OK')	image/png	etag:%225e865400-5870%22	http://iboxbd.live/assets/images/mytv.png	iboxbd.live/assets/images/mytv.png	(from http://iboxbd.live/)
12:50:34	1913/1913	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:34%20GMT	http://iboxbd.live/player.php?stream=8	iboxbd.live/player3a58.html	(from http://iboxbd.live/)
12:50:35	3494/3494	---M--	200	added ('OK')	image/jpeg	etag:%225e3d89bf-da6%22	http://iboxbd.live/assets/images/deeptotv.jpg	iboxbd.live/assets/images/deeptotv.jpg	(from http://iboxbd.live/)
12:50:36	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:36%20GMT	http://iboxbd.live/player.php?stream=15	iboxbd.live/player72c9.html	(from http://iboxbd.live/)
12:50:37	15091/15091	---M--	200	added ('OK')	image/png	etag:%225e87b292-3af3%22	http://iboxbd.live/assets/images/satv.png	iboxbd.live/assets/images/satv.png	(from http://iboxbd.live/)
12:50:38	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:38%20GMT	http://iboxbd.live/player.php?stream=11	iboxbd.live/playerb431.html	(from http://iboxbd.live/)
12:50:39	5046/5046	---M--	200	added ('OK')	image/jpeg	etag:%225e3d89bf-13b6%22	http://iboxbd.live/assets/images/ekattor.jpg	iboxbd.live/assets/images/ekattor.jpg	(from http://iboxbd.live/)
12:50:40	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:40%20GMT	http://iboxbd.live/player.php?stream=62	iboxbd.live/playercf28.html	(from http://iboxbd.live/)
12:50:41	5292/5292	---M--	200	added ('OK')	image/jpeg	etag:%225e3d89be-14ac%22	http://iboxbd.live/assets/images/asiantv.jpg	iboxbd.live/assets/images/asiantv.jpg	(from http://iboxbd.live/)
12:50:42	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:42%20GMT	http://iboxbd.live/player.php?stream=61	iboxbd.live/playerdd3e.html	(from http://iboxbd.live/)
12:50:43	4665/4665	---M--	200	added ('OK')	image/jpeg	etag:%225e3d89be-1239%22	http://iboxbd.live/assets/images/boishakhitv.jpg	iboxbd.live/assets/images/boishakhitv.jpg	(from http://iboxbd.live/)
12:50:44	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:44%20GMT	http://iboxbd.live/player.php?stream=59	iboxbd.live/player079c.html	(from http://iboxbd.live/)
12:50:45	7744/7744	---M--	200	added ('OK')	image/png	etag:%225e3d89c1-1e40%22	http://iboxbd.live/assets/images/nagorik.png	iboxbd.live/assets/images/nagorik.png	(from http://iboxbd.live/)
12:50:46	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:46%20GMT	http://iboxbd.live/player.php?stream=50	iboxbd.live/playerb7b9.html	(from http://iboxbd.live/)
12:50:47	9506/9506	---M--	200	added ('OK')	image/jpeg	etag:%225e8733cf-2522%22	http://iboxbd.live/assets/images/mohonatv.jpg	iboxbd.live/assets/images/mohonatv.jpg	(from http://iboxbd.live/)
12:50:48	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:48%20GMT	http://iboxbd.live/player.php?stream=19	iboxbd.live/playerce21.html	(from http://iboxbd.live/)
12:50:49	11636/11636	---M--	200	added ('OK')	image/png	etag:%225e88be92-2d74%22	http://iboxbd.live/assets/images/banglatv.png	iboxbd.live/assets/images/banglatv.png	(from http://iboxbd.live/)
12:50:50	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:50%20GMT	http://iboxbd.live/player.php?stream=16	iboxbd.live/playere1fb.html	(from http://iboxbd.live/)
12:50:53	41742/41742	---M--	200	added ('OK')	image/jpeg	etag:%225e7b505e-a30e%22	http://iboxbd.live/assets/images/85.jpg	iboxbd.live/assets/images/85.jpg	(from http://iboxbd.live/)
12:50:53	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:52%20GMT	http://iboxbd.live/player.php?stream=63	iboxbd.live/player528a.html	(from http://iboxbd.live/)
12:50:55	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:54%20GMT	http://iboxbd.live/player.php?stream=49	iboxbd.live/playerc27b.html	(from http://iboxbd.live/)
12:50:57	37361/37361	---M--	200	added ('OK')	image/jpeg	etag:%225e7b514e-91f1%22	http://iboxbd.live/assets/images/94.jpg	iboxbd.live/assets/images/94.jpg	(from http://iboxbd.live/)
12:51:01	1913/1913	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:50:59%20GMT	http://iboxbd.live/player.php?stream=9	iboxbd.live/player334c.html	(from http://iboxbd.live/)
12:51:03	59707/59707	---M--	200	added ('OK')	image/jpeg	etag:%225e7b52fe-e93b%22	http://iboxbd.live/assets/images/108.jpg	iboxbd.live/assets/images/108.jpg	(from http://iboxbd.live/)
12:51:05	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:03%20GMT	http://iboxbd.live/player.php?stream=66	iboxbd.live/playere19a.html	(from http://iboxbd.live/)
12:51:07	42049/42049	---M--	200	added ('OK')	image/jpeg	etag:%225e7b52c6-a441%22	http://iboxbd.live/assets/images/106.jpg	iboxbd.live/assets/images/106.jpg	(from http://iboxbd.live/)
12:51:09	35137/35137	---M--	200	added ('OK')	image/jpeg	etag:%225e7b51c8-8941%22	http://iboxbd.live/assets/images/98.jpg	iboxbd.live/assets/images/98.jpg	(from http://iboxbd.live/)
12:51:09	15980/15980	---M--	200	added ('OK')	image/png	etag:%225e865385-3e6c%22	http://iboxbd.live/assets/images/colorsbangla.png	iboxbd.live/assets/images/colorsbangla.png	(from http://iboxbd.live/)
12:51:09	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:07%20GMT	http://iboxbd.live/player.php?stream=33	iboxbd.live/player1c0e.html	(from http://iboxbd.live/)
12:51:11	28316/28316	---M--	200	added ('OK')	image/png	etag:%225e865810-6e9c%22	http://iboxbd.live/assets/images/sonyaath.png	iboxbd.live/assets/images/sonyaath.png	(from http://iboxbd.live/)
12:51:11	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:10%20GMT	http://iboxbd.live/player.php?stream=34	iboxbd.live/player0128.html	(from http://iboxbd.live/)
12:51:13	23069/23069	---M--	200	added ('OK')	image/png	etag:%225e862ced-5a1d%22	http://iboxbd.live/assets/images/zeebangla.png	iboxbd.live/assets/images/zeebangla.png	(from http://iboxbd.live/)
12:51:13	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:12%20GMT	http://iboxbd.live/player.php?stream=29	iboxbd.live/playerd8d6.html	(from http://iboxbd.live/)
12:51:15	11617/11617	---M--	200	added ('OK')	image/png	etag:%225e8652c8-2d61%22	http://iboxbd.live/assets/images/zeebanglacinema.png	iboxbd.live/assets/images/zeebanglacinema.png	(from http://iboxbd.live/)
12:51:15	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:14%20GMT	http://iboxbd.live/player.php?stream=30	iboxbd.live/player6eb8.html	(from http://iboxbd.live/)
12:51:15	15563/15563	---M--	200	added ('OK')	image/png	etag:%225e8653db-3ccb%22	http://iboxbd.live/assets/images/starjalsha.png	iboxbd.live/assets/images/starjalsha.png	(from http://iboxbd.live/)
12:51:16	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:16%20GMT	http://iboxbd.live/player.php?stream=31	iboxbd.live/playerd221.html	(from http://iboxbd.live/)
12:51:17	18041/18041	---M--	200	added ('OK')	image/png	etag:%225e865456-4679%22	http://iboxbd.live/assets/images/jalshamovies.png	iboxbd.live/assets/images/jalshamovies.png	(from http://iboxbd.live/)
12:51:18	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:18%20GMT	http://iboxbd.live/player.php?stream=32	iboxbd.live/player97bf.html	(from http://iboxbd.live/)
12:51:21	39438/39438	---M--	200	added ('OK')	image/jpeg	etag:%225e7b5314-9a0e%22	http://iboxbd.live/assets/images/109.jpg	iboxbd.live/assets/images/109.jpg	(from http://iboxbd.live/)
12:51:23	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:21%20GMT	http://iboxbd.live/player.php?stream=42	iboxbd.live/playerdc35.html	(from http://iboxbd.live/)
12:51:25	3414/3414	---M--	200	added ('OK')	image/png	etag:%225e865227-d56%22	http://iboxbd.live/assets/images/hbo.png	iboxbd.live/assets/images/hbo.png	(from http://iboxbd.live/)
12:51:25	38317/38317	---M--	200	added ('OK')	image/jpeg	etag:%225e7b4ed2-95ad%22	http://iboxbd.live/assets/images/72.jpg	iboxbd.live/assets/images/72.jpg	(from http://iboxbd.live/)
12:51:25	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2007:51:24%20GMT	http://iboxbd.live/player.php?stream=78	iboxbd.live/player2488.html	(from http://iboxbd.live/)
12:51:25	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Dec%202020%2007:51:25%20GMT	http://iboxbd.live/assets/images/anBDCINEPLEX.png	iboxbd.live/assets/images/anBDCINEPLEX.png	(from http://iboxbd.live/)
