date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:04	141/141	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Tue,%2001%20Dec%202020%2006:54:04%20GMT	http://iboxbd.live/robots.txt		(from )
11:54:05	45075/45075	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2006:54:04%20GMT	http://iboxbd.live/	iboxbd.live/index.html	(from )
11:54:07	121264/121264	---M--	200	added ('OK')	text/css	etag:%225e85efbd-1d9b0%22	http://iboxbd.live/assets/css/bootstrap.min.css	iboxbd.live/assets/css/bootstrap.min.css	(from http://iboxbd.live/)
11:54:09	31024/31024	---M--	200	added ('OK')	text/css	etag:%225e3d89bc-7930%22	http://iboxbd.live/assets/css/font-awesome.min.css	iboxbd.live/assets/css/font-awesome.min.css	(from http://iboxbd.live/)
11:54:11	4615/4615	---M--	200	added ('OK')	text/css	etag:%225e3d89bd-1207%22	http://iboxbd.live/assets/css/owl.carousel.css	iboxbd.live/assets/css/owl.carousel.css	(from http://iboxbd.live/)
11:54:11	7883/7883	---M--	200	added ('OK')	text/css	etag:%225ee8b4cf-1ecb%22	http://iboxbd.live/assets/style.css	iboxbd.live/assets/style.css	(from http://iboxbd.live/)
11:54:11	451/451	---M--	200	added ('OK')	text/css	etag:%225ee8b043-1c3%22	http://iboxbd.live/assets/css/noyan.css	iboxbd.live/assets/css/noyan.css	(from http://iboxbd.live/)
11:54:15	45075/45075	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2006:54:13%20GMT	http://iboxbd.live/index.php	iboxbd.live/index-2.html	(from http://iboxbd.live/)
11:54:16	6417/6417	---M--	200	added ('OK')	image/png	etag:%225f84aee1-1911%22	http://iboxbd.live/logo.png	iboxbd.live/logo.png	(from http://iboxbd.live/)
11:54:16	1913/1913	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2006:54:15%20GMT	http://iboxbd.live/player.php?stream=1	iboxbd.live/player1f50.html	(from http://iboxbd.live/)
11:54:19	1915/1915	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2006:54:17%20GMT	http://iboxbd.live/player.php?stream=13	iboxbd.live/player6b80.html	(from http://iboxbd.live/)
11:54:19	15982/15982	---M--	200	added ('OK')	image/png	etag:%225e8624da-3e6e%22	http://iboxbd.live/assets/images/gtv.png	iboxbd.live/assets/images/gtv.png	(from http://iboxbd.live/)
